source,target
8419,0
8408,0
8405,0
8418,0
7398,0
8406,0
8416,0
7411,0
8409,0
5382,1
5383,1
874,2
10441,2
9486,2
1236,3
1237,3
1238,3
1234,3
32,23
27,23
26,23
25,23
22,23
7,23
104,23
41,42
43,42
44,42
45,42
105,44
8224,108
7316,111
8402,111
5400,111
7263,111
9458,130
5262,130
463,130
733,130
10526,130
6602,130
5206,130
5348,130
6906,130
3819,132
3822,132
3818,132
3821,132
3820,132
7131,134
10594,134
5478,134
5481,134
1429,135
1425,135
1010,135
6172,139
10422,139
6566,139
10380,139
6905,140
10381,140
199,141
6904,141
200,141
205,142
7309,142
5380,149
10336,152
818,154
834,154
7449,154
9046,154
761,154
5126,154
5857,160
10235,160
6894,160
1100,164
168,166
3371,167
3787,167
3991,167
3785,167
3790,167
478,167
3805,167
3786,167
3792,167
1921,167
3262,167
3252,167
348,167
8376,167
3985,167
3378,167
3788,167
1054,167
1394,167
1268,167
3803,167
3361,167
3358,167
2068,167
3368,167
3356,167
3796,167
7856,167
947,167
3791,167
1483,167
1634,167
1638,167
1984,167
1637,167
246,167
3782,167
2815,167
3365,167
3359,167
3269,167
3354,167
755,167
1333,167
3372,167
1838,167
482,167
7363,167
3822,167
1635,167
3370,167
5843,167
3798,167
3793,167
1630,167
1318,167
7366,167
3353,167
4051,167
5562,167
4262,167
3349,167
3801,167
2565,167
3780,167
3799,167
3250,167
10156,167
3994,167
3377,167
5058,167
3802,167
3348,167
3783,167
3794,167
521,167
330,167
3355,167
8684,167
3795,167
3214,167
3800,167
3983,167
481,167
3755,167
3350,167
261,167
3781,167
5006,167
3784,167
3806,167
186,185
7285,204
6985,205
6624,205
6153,205
6777,205
5636,205
123,205
6414,205
6154,205
1658,208
1660,208
4721,208
1663,208
4723,208
4722,208
1662,208
5069,208
1661,208
1659,208
10823,211
10824,211
10987,213
5706,213
10626,213
5287,213
6410,213
8212,213
275,213
5338,213
5677,213
5924,213
7602,213
5600,213
7462,213
5592,213
6524,213
5285,213
250,213
5602,213
5598,213
7240,213
6876,213
9826,213
6263,213
6409,213
10439,213
5956,213
5846,213
6347,213
5587,213
8113,213
7169,213
6081,213
1504,213
6336,213
5681,213
5708,213
5278,213
9888,213
5736,213
5364,213
122,213
7852,213
5788,213
8708,213
6543,214
5683,214
6647,214
5682,214
10224,214
10423,214
10453,214
6535,214
5624,214
8671,214
5707,214
10988,215
7619,215
7246,215
2274,224
2271,224
2272,224
2273,224
3744,227
3745,227
3741,227
3746,227
3748,227
3747,227
5044,227
3743,227
3742,227
4595,228
2409,228
4594,228
4597,228
11019,231
3008,231
3001,231
3009,231
2996,231
3007,231
2998,231
2999,231
3000,231
3002,231
2997,231
2995,231
3006,231
3726,238
3725,238
3724,238
3727,238
1738,239
1735,239
1737,239
1736,239
1740,239
1739,239
11323,243
11322,243
3148,246
3149,246
3142,246
3145,246
3146,246
3150,246
3143,246
3144,246
3147,246
11301,248
5115,248
5123,248
5114,248
5125,248
5120,248
5116,248
5124,248
5118,248
5117,248
5119,248
1544,248
1720,251
1723,251
1766,260
1767,260
1769,260
1770,260
1768,260
2117,261
2115,261
2114,261
4083,261
2619,261
2116,261
5676,272
277,276
10316,276
10696,286
285,286
284,286
4007,293
3998,293
4005,293
4008,293
4004,293
3996,293
3997,293
4003,293
4002,293
4001,293
3999,293
4000,293
4006,293
3760,298
3612,298
3765,298
3769,298
3766,298
3768,298
3761,298
3613,298
3764,298
3767,298
3762,298
3615,298
3614,298
3763,298
4295,299
4296,299
4299,299
2130,299
4297,299
4298,299
4300,299
3076,301
3074,301
3078,301
4447,301
3075,301
3073,301
3077,301
3090,302
3092,302
3081,302
3097,302
3095,302
3104,302
3094,302
3087,302
3096,302
3102,302
3086,302
3091,302
3080,302
3100,302
3083,302
4446,302
3105,302
3084,302
3103,302
3106,302
3085,302
3098,302
3093,302
3082,302
3088,302
3099,302
3101,302
4444,302
3079,302
3089,302
4445,302
3120,304
3111,304
3109,304
3115,304
3114,304
3118,304
3110,304
3119,304
3117,304
3107,304
3116,304
3108,304
3132,305
3136,305
3133,305
3131,305
3134,305
3135,305
3125,306
3127,306
3128,306
2160,306
3123,306
3126,306
3122,306
3121,306
3130,306
3129,306
3124,306
3935,307
3934,307
3936,307
9900,308
1501,308
1686,311
1680,311
1695,311
1683,311
1696,311
5792,311
1693,311
1694,311
1697,311
1684,311
1688,311
1681,311
11531,315
3555,315
408,315
343,315
3556,315
318,315
3557,315
2067,315
3551,315
316,315
3553,315
3552,315
3558,315
3549,315
3554,315
3550,315
322,321
4644,321
1843,321
323,321
324,321
11530,322
3496,322
3463,322
3488,322
3480,322
2134,322
3475,322
3500,322
5045,322
3469,322
3468,322
3465,322
3459,322
3466,322
2135,322
3492,322
5052,322
3491,322
5054,322
5053,322
3470,322
3493,322
3464,322
2136,322
3503,322
3502,322
3479,322
3505,322
3504,322
3501,322
2133,322
3467,322
3483,322
3487,322
3490,322
3471,322
3478,322
1348,322
3489,322
3494,322
3510,322
3495,322
3474,322
5046,322
3508,322
3484,322
3473,322
3485,322
3486,322
3507,322
3476,322
3509,322
3498,322
3499,322
3511,322
3462,322
3461,322
3497,322
5051,322
3482,322
3506,322
3477,322
3472,322
3481,322
3460,322
3417,323
3414,323
3407,323
3451,323
4527,323
3429,323
3393,323
3455,323
3430,323
3396,323
3390,323
3395,323
4521,323
3452,323
2129,323
3436,323
3409,323
4526,323
3391,323
3423,323
3433,323
3392,323
3457,323
3413,323
3443,323
3456,323
3446,323
3421,323
3427,323
4528,323
3448,323
3428,323
3458,323
3382,323
3384,323
3426,323
3387,323
4530,323
3415,323
3403,323
3442,323
3438,323
3405,323
3406,323
3394,323
2127,323
3431,323
4525,323
3453,323
4529,323
3419,323
3440,323
3410,323
3383,323
4522,323
3418,323
3434,323
3402,323
4523,323
3411,323
3439,323
3386,323
3449,323
3400,323
3401,323
3416,323
3381,323
3437,323
4531,323
3404,323
3412,323
3385,323
3450,323
3424,323
3399,323
3425,323
2128,323
5048,323
3445,323
3388,323
3398,323
4524,323
3444,323
3454,323
3408,323
3441,323
3432,323
3389,323
3397,323
3435,323
3420,323
3422,323
3447,323
4624,324
4626,324
4625,324
4627,324
4623,324
4622,324
2268,325
2269,325
2265,325
2258,325
10510,325
2267,325
2451,325
2264,325
2260,325
2261,325
2266,325
9565,325
2259,325
2263,325
2257,325
2270,325
2262,325
4593,325
11522,326
11519,326
11521,326
11520,326
11518,326
11523,326
1557,327
1552,327
1553,327
1559,327
1554,327
1555,327
1560,327
1556,327
1558,327
2428,328
2418,328
2426,328
2425,328
2431,328
2415,328
2427,328
2410,328
2416,328
2411,328
2417,328
2412,328
2432,328
2420,328
2424,328
2423,328
2413,328
2419,328
2422,328
2430,328
2414,328
2421,328
4725,328
2429,328
1798,329
1799,329
1792,329
1797,329
1796,329
1791,329
1802,329
4888,329
1790,329
1794,329
1793,329
1789,329
1788,329
1800,329
1801,329
1786,329
1795,329
1787,329
3915,330
3908,330
3903,330
3917,330
3910,330
3916,330
3913,330
3923,330
3920,330
3918,330
3909,330
3911,330
3914,330
3906,330
3912,330
2179,330
3905,330
3921,330
3919,330
3902,330
3907,330
3922,330
3904,330
332,331
4506,331
333,331
4239,333
4240,333
2656,335
2657,335
2654,335
2655,335
1745,338
1741,338
1746,338
1742,338
1743,338
1744,338
3876,339
3867,339
3863,339
3861,339
3870,339
3873,339
3860,339
3868,339
3862,339
3866,339
3872,339
3869,339
3865,339
3864,339
3859,339
4034,341
4032,341
4033,341
4035,341
4117,343
3794,344
3789,344
3798,344
10348,344
895,344
3802,344
3807,344
3785,344
3786,344
3799,344
3800,344
3792,344
3793,344
3788,344
3787,344
3791,344
3797,344
3804,344
3795,344
3806,344
3805,344
3796,344
3781,344
3801,344
5041,344
3803,344
3784,344
3790,344
3780,344
3783,344
5040,344
3782,344
2483,345
5019,345
5014,345
5020,345
5018,345
5016,345
5022,345
5015,345
3017,347
3018,347
3020,347
3019,347
3013,347
3012,347
2161,347
3015,347
3011,347
3014,347
2159,347
3022,347
3016,347
3021,347
3010,347
5652,348
3937,349
3939,349
3938,349
3940,349
5226,350
6944,352
8664,352
8612,352
5412,352
10731,352
353,352
7183,352
6945,352
8145,353
10516,353
10312,362
368,367
10489,367
7368,367
6343,367
5916,367
5487,367
9846,367
6338,367
6456,368
6449,368
6802,368
6467,368
6472,368
6478,368
2650,368
8523,370
7370,370
9493,370
5267,370
8762,370
10520,370
7315,370
7961,370
6432,370
8074,370
9294,370
7381,371
8754,371
2231,371
810,371
809,371
5274,371
9797,372
8923,372
6290,372
6289,372
8924,372
9632,372
10621,373
9878,373
8200,373
10002,373
8201,373
10627,373
7635,373
8413,373
5260,373
8457,373
5229,373
8080,373
8753,373
7457,373
5203,374
5276,374
8944,374
8943,374
2498,374
8455,374
8895,374
8739,374
8893,374
2938,376
2936,376
2937,376
2472,380
1644,380
1640,380
1642,380
1639,380
1643,380
1645,380
1641,380
2880,381
385,387
2778,387
2779,387
2780,387
4497,393
4494,393
4495,393
4490,393
4486,393
4482,393
4483,393
4496,393
4481,393
4480,393
4491,393
5553,414
5550,414
5555,414
5552,414
10690,416
6950,416
6600,416
6948,416
6949,416
6532,416
5909,416
3965,419
3966,419
3964,419
3968,419
3963,419
3967,419
6970,431
806,431
7000,431
7620,431
6980,431
9212,431
7078,431
367,431
822,431
8725,431
8114,431
839,431
7637,431
5917,431
7338,431
5328,432
7600,432
2227,432
5619,432
7016,432
7783,432
1550,432
7950,432
7568,432
6895,432
7064,432
7605,432
9737,433
9320,433
7968,433
2638,439
2637,439
11101,441
412,441
411,441
413,441
410,441
4701,444
765,445
8108,445
448,446
451,446
5088,446
1842,446
447,446
453,447
7612,447
6709,447
6863,447
4532,448
320,448
885,448
452,449
7342,449
7033,449
7773,449
319,449
8613,450
887,450
9960,450
4576,450
7345,451
10379,451
2437,454
2438,454
2221,457
2220,457
2223,457
2222,457
4217,461
474,461
462,461
4566,461
4565,461
2813,461
1952,464
466,464
465,464
467,464
1951,464
7454,471
1776,473
1773,473
